SourceFile,GPSLatitude,GPSLongitude
IMG_9189.HEIC,40.4374583333333,-3.6786
IMG_9191.heic,40.4375111111111,-3.6792
IMG_9193.HEIC,40.437575,-3.68007222222222
IMG_9194.HEIC,40.4375805555556,-3.68027777777778
IMG_9195.HEIC,40.4376222222222,-3.68138888888889
IMG_9196.HEIC,40.4376361111111,-3.68174166666667
IMG_9197.HEIC,40.4376861111111,-3.68275555555556
IMG_9198.HEIC,40.4377444444444,-3.68310555555556
IMG_9199.HEIC,40.4377972222222,-3.68463888888889
IMG_9200.HEIC,40.4378277777778,-3.68551111111111
IMG_9201.HEIC,40.43785,-3.68598888888889
IMG_9202.HEIC,40.4378611111111,-3.68621666666667
IMG_9203.HEIC,40.4379527777778,-3.68986111111111
IMG_9204.HEIC,40.4379611111111,-3.69013888888889
IMG_9205.HEIC,40.4379833333333,-3.69031388888889
IMG_9206.HEIC,40.4380583333333,-3.69062777777778
IMG_9207.HEIC,40.4380805555556,-3.69083333333333
IMG_9208.HEIC,40.4378694444444,-3.69071944444444
IMG_9209.HEIC,40.4377888888889,-3.69068055555556
IMG_9210.HEIC,40.4379222222222,-3.69016111111111
IMG_9211.HEIC,40.4377861111111,-3.68681111111111
IMG_9212.HEIC,40.4377055555556,-3.68525277777778
IMG_9213.HEIC,40.4376416666667,-3.68374444444444
IMG_9214.HEIC,40.4375444444444,-3.68209166666667
IMG_9215.HEIC,40.4374888888889,-3.680875
IMG_9216.HEIC,40.4373944444444,-3.67956388888889
IMG_9217.HEIC,40.4373694444444,-3.67895555555556
IMG_9218.HEIC,40.4323388888889,-3.67298611111111
IMG_9219.HEIC,40.4324722222222,-3.67455277777778
IMG_9220.HEIC,40.4324944444444,-3.67494166666667
IMG_9222.HEIC,40.4326888888889,-3.679125
IMG_9223.HEIC,40.4327,-3.67940555555556
IMG_9224.HEIC,40.4328722222222,-3.68284166666667
IMG_9225.HEIC,40.4329027777778,-3.68342777777778
IMG_9226.HEIC,40.4330166666667,-3.68602777777778
IMG_9228.HEIC,40.4330416666667,-3.68651944444444
IMG_9229.HEIC,40.43295,-3.68711388888889
IMG_9230.HEIC,40.4329527777778,-3.68677222222222
IMG_9231.HEIC,40.4327666666667,-3.68384444444444
IMG_9232.HEIC,40.4327611111111,-3.68383055555556
IMG_9233.HEIC,40.4327361111111,-3.68341944444444
IMG_9234.HEIC,40.4325972222222,-3.68000277777778
IMG_9235.HEIC,40.432575,-3.67961944444444
IMG_9237.HEIC,40.4323611111111,-3.67535277777778
IMG_9238.HEIC,40.4323527777778,-3.67523055555556
IMG_9239.HEIC,40.43235,-3.67513333333333
IMG_9240.HEIC,40.4297555555556,-3.67168888888889
IMG_9241.HEIC,40.4297777777778,-3.67213611111111
IMG_9242.HEIC,40.4298333333333,-3.67322222222222
IMG_9243.HEIC,40.4298472222222,-3.67355833333333
IMG_9244.HEIC,40.4299,-3.67492222222222
IMG_9245.HEIC,40.4299888888889,-3.67645555555556
IMG_9246.HEIC,40.4300583333333,-3.67787222222222
IMG_9247.HEIC,40.4300694444444,-3.67824722222222
IMG_9248.HEIC,40.4301,-3.67889722222222
IMG_9249.HEIC,40.4303277777778,-3.67945833333333
IMG_9250.HEIC,40.4301611111111,-3.68033888888889
IMG_9251.HEIC,40.4301611111111,-3.68065833333333
IMG_9252.HEIC,40.4302444444444,-3.68182777777778
IMG_9253.HEIC,40.4302583333333,-3.68218611111111
IMG_9254.HEIC,40.4302972222222,-3.68305833333333
IMG_9255.HEIC,40.4303277777778,-3.68358333333333
IMG_9256.HEIC,40.4303555555556,-3.68420555555556
IMG_9257.HEIC,40.4304055555556,-3.68521388888889
IMG_9258.HEIC,40.4304583333333,-3.68626944444444
IMG_9259.HEIC,40.4304888888889,-3.68698055555556
IMG_9260.HEIC,40.4305583333333,-3.68818611111111
IMG_9261.HEIC,40.43055,-3.68868611111111
IMG_9262.HEIC,40.4305638888889,-3.68900555555556
IMG_9263.HEIC,40.4305416666667,-3.68853055555556
IMG_9265.HEIC,40.4304583333333,-3.68738055555556
IMG_9266.HEIC,40.4304388888889,-3.68690555555556
IMG_9267.HEIC,40.4303944444444,-3.68625
IMG_9268.HEIC,40.430375,-3.68592222222222
IMG_9269.HEIC,40.4303472222222,-3.68538888888889
IMG_9270.HEIC,40.4303194444444,-3.68496666666667
IMG_9271.HEIC,40.4302944444444,-3.68439444444444
IMG_9272.HEIC,40.4302666666667,-3.68378611111111
