epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1335.1,0.61937,0.70626,0.44829,0.91928,0.96955,0.98104,0.98815,0.87514,0.97404,0.97039,0.98646,0.73164,0.61138,0.69432,0.41458,0.85336,0.0011884,0.0011884,0.0011884
31,1371.72,0.61013,0.7165,0.45952,0.92341,0.98326,0.98026,0.98871,0.85905,0.98242,0.97862,0.98824,0.76293,0.6176,0.66028,0.39822,0.85251,0.0011719,0.0011719,0.0011719
32,1401.35,0.57681,0.64627,0.4194,0.91258,0.97385,0.98684,0.98896,0.86591,0.97224,0.9852,0.98803,0.76904,0.59875,0.69711,0.38832,0.84975,0.0011554,0.0011554,0.0011554
33,1436.05,0.59286,0.68111,0.43871,0.91697,0.96832,0.97152,0.98962,0.89308,0.96872,0.97045,0.98592,0.76649,0.60631,0.7075,0.42029,0.846,0.00113889,0.00113889,0.00113889
34,1491.55,0.58271,0.65202,0.42336,0.91217,0.95899,0.97976,0.98673,0.87132,0.95735,0.97811,0.98526,0.74164,0.62287,0.75257,0.41245,0.84612,0.00112239,0.00112239,0.00112239
35,1536.31,0.58656,0.66064,0.42226,0.91103,0.98463,0.98355,0.9898,0.87958,0.98298,0.98191,0.98824,0.76924,0.59538,0.70342,0.37622,0.85221,0.00110589,0.00110589,0.00110589
36,1579.89,0.55777,0.63961,0.40301,0.90614,0.98893,0.96875,0.98915,0.88516,0.9872,0.96711,0.98724,0.75371,0.58307,0.67987,0.37395,0.84312,0.00108938,0.00108938,0.00108938
37,1622.1,0.54785,0.63198,0.39175,0.90724,0.97257,0.98266,0.98756,0.88619,0.9856,0.96642,0.98511,0.76221,0.6056,0.7071,0.37285,0.84583,0.00107288,0.00107288,0.00107288
38,1652.39,0.57203,0.63729,0.41708,0.90338,0.86755,0.97063,0.98436,0.87313,0.86755,0.97063,0.98235,0.75146,0.57054,0.68189,0.38333,0.84193,0.00105638,0.00105638,0.00105638
39,1681.48,0.54665,0.61498,0.38529,0.89179,0.98541,0.97368,0.98895,0.87986,0.98541,0.97368,0.98829,0.76805,0.61301,0.71229,0.38274,0.84828,0.00103987,0.00103987,0.00103987
40,1738.06,0.5431,0.58555,0.38729,0.89814,0.98299,0.97533,0.989,0.88855,0.98346,0.97368,0.98827,0.76949,0.59219,0.71118,0.37294,0.85076,0.00102337,0.00102337,0.00102337
41,1796.41,0.55103,0.60354,0.39134,0.91138,0.97959,0.97574,0.98854,0.88757,0.97959,0.97574,0.98854,0.74794,0.5814,0.70059,0.38721,0.84212,0.00100687,0.00100687,0.00100687
42,1841.83,0.53851,0.60772,0.37316,0.89125,0.98121,0.98246,0.99,0.88272,0.98338,0.98131,0.98926,0.77375,0.58792,0.65851,0.36665,0.84576,0.000990365,0.000990365,0.000990365
43,1874.46,0.54984,0.63477,0.38551,0.89856,0.9785,0.98285,0.99011,0.89037,0.97683,0.98121,0.98624,0.75126,0.56934,0.70634,0.35231,0.84118,0.000973861,0.000973861,0.000973861
44,1913.62,0.54729,0.60804,0.37296,0.91072,0.98882,0.97455,0.98905,0.90063,0.98733,0.97198,0.98867,0.75971,0.57683,0.71256,0.36714,0.84313,0.000957358,0.000957358,0.000957358
45,1957.17,0.51496,0.60093,0.35434,0.90432,0.98254,0.97368,0.98945,0.897,0.98415,0.97368,0.98663,0.75131,0.54724,0.6993,0.34569,0.83347,0.000940855,0.000940855,0.000940855
46,2018.44,0.53783,0.60712,0.37129,0.8998,0.98273,0.97862,0.98889,0.89484,0.9832,0.97862,0.98827,0.77674,0.57745,0.7008,0.35906,0.84038,0.000924352,0.000924352,0.000924352
47,2048.06,0.51997,0.59369,0.36659,0.89363,0.98652,0.97284,0.98908,0.89142,0.9848,0.97119,0.98844,0.76439,0.57356,0.66631,0.36798,0.84076,0.000907848,0.000907848,0.000907848
48,2090.93,0.53684,0.60629,0.38181,0.89675,0.98701,0.97233,0.99048,0.89914,0.98701,0.97233,0.98916,0.75427,0.56764,0.68407,0.35623,0.83851,0.000891345,0.000891345,0.000891345
49,2142.2,0.52748,0.59008,0.3668,0.88484,0.98414,0.97204,0.98982,0.90743,0.98414,0.97204,0.9865,0.77493,0.56084,0.66139,0.35045,0.84121,0.000874842,0.000874842,0.000874842
50,2192.65,0.51745,0.5822,0.36524,0.89926,0.98496,0.97572,0.98959,0.89442,0.98496,0.97572,0.98715,0.74526,0.55859,0.64214,0.36153,0.84115,0.000858338,0.000858338,0.000858338
51,2245.45,0.52898,0.61385,0.36827,0.89475,0.9861,0.97653,0.98903,0.90506,0.9861,0.97653,0.9884,0.74032,0.57167,0.65505,0.36399,0.84672,0.000841835,0.000841835,0.000841835
52,2288.77,0.51147,0.57393,0.36194,0.89576,0.98269,0.98262,0.98954,0.89796,0.98269,0.98262,0.98864,0.74591,0.55717,0.64418,0.34466,0.83359,0.000825332,0.000825332,0.000825332
53,2318.18,0.51236,0.56609,0.35906,0.88738,0.97806,0.98213,0.9885,0.89853,0.97806,0.98213,0.98649,0.76601,0.55148,0.67183,0.36294,0.83829,0.000808828,0.000808828,0.000808828
54,2391.38,0.50035,0.56004,0.34656,0.88717,0.9774,0.97862,0.98855,0.89508,0.97576,0.97697,0.98625,0.75039,0.58245,0.64803,0.37495,0.83816,0.000792325,0.000792325,0.000792325
