SourceFile,GPSLatitude,GPSLongitude
IMG_8679.heic,40.442119, -3.663624
IMG_8680.heic,40.44215,-3.66363611111111
IMG_8681.heic,40.4423222222222,-3.66366388888889
IMG_8682.heic,40.4422388888889,-3.66348611111111
IMG_8683.heic,40.4422027777778,-3.66340555555556
IMG_8684.heic,40.43931131646723, -3.6618957038826703
IMG_8685.heic,40.440691, -3.661204
IMG_8686.heic,40.4409555555556,-3.66111111111111
IMG_8688.heic,40.4407694444444,-3.66139722222222
IMG_8689.heic,40.4406777777778,-3.66108611111111
IMG_8690.heic,40.441137, -3.662809
IMG_8691.heic,40.4407722222222,-3.66294166666667
IMG_8692.heic,40.4409166666667,-3.66300277777778
IMG_8693.heic,40.4409833333333,-3.66301111111111
IMG_8694.heic,40.4411055555556,-3.66314722222222
IMG_8695.heic,40.4412416666667,-3.66308055555556
IMG_8696.heic,40.4414138888889,-3.66300277777778
IMG_8697.heic,40.4412416666667,-3.6629
IMG_8698.heic,40.4398222222222,-3.66293055555556
IMG_8699.heic,40.4396972222222,-3.66291388888889
IMG_8700.heic,40.4396555555556,-3.66283333333333
IMG_8701.heic,40.4396666666667,-3.66283333333333
IMG_8702.heic,40.439641, -3.663096
IMG_8703.heic,40.4395472222222,-3.66286388888889
IMG_8704.heic,40.4396083333333,-3.66314166666667
IMG_8705.heic,40.4389833333333,-3.66318611111111
IMG_8706.heic,40.43905,-3.6631
IMG_8707.heic,40.4391861111111,-3.66298333333333
IMG_8708.heic,40.4391027777778,-3.66288888888889
IMG_8709.heic,40.4389027777778,-3.66283888888889
IMG_8710.heic,40.4388583333333,-3.66286111111111
IMG_8711.heic,40.438790, -3.663086
IMG_8712.heic,40.4386833333333,-3.66300277777778
IMG_8713.heic,40.438174, -3.663434
IMG_8714.heic,40.4380222222222,-3.66343055555556
IMG_8715.heic,40.4373666666667,-3.66390833333333
IMG_8716.heic,40.4371333333333,-3.66401388888889
IMG_8717.heic,40.4366944444444,-3.66417777777778
IMG_8718.heic,40.4364916666667,-3.66383611111111
IMG_8719.heic,40.43625,-3.66402777777778
IMG_8720.heic,40.4365166666667,-3.66417222222222
IMG_8721.heic,40.4367527777778,-3.66438888888889
IMG_8735.heic,40.4362527777778,-3.66519166666667
IMG_8736.heic,40.4355,-3.66486388888889
IMG_8737.heic,40.4353111111111,-3.66481388888889
IMG_8738.heic,40.4352388888889,-3.66486111111111
IMG_8740.heic,40.4337055555556,-3.66436111111111
IMG_8741.heic,40.4335833333333,-3.66405833333333
IMG_8742.heic,40.4334194444444,-3.66423888888889
IMG_8743.heic,40.4311027777778,-3.66328888888889
IMG_8746.heic,40.4328916666667,-3.6723
IMG_8747.heic,40.4333388888889,-3.67128888888889
IMG_8748.heic,40.4333638888889,-3.67116111111111
IMG_8749.heic,40.433375,-3.67130833333333
IMG_8750.heic,40.4334138888889,-3.67111944444444
IMG_8751.heic,40.4337916666667,-3.67051944444444
IMG_8752.heic,40.4337833333333,-3.67049166666667
IMG_8753.heic,40.433925,-3.67043333333333
IMG_8754.heic,40.4336916666667,-3.67045555555556
IMG_8755.heic,40.4336916666667,-3.67051111111111
IMG_8756.heic,40.4339944444444,-3.67020277777778
IMG_8757.heic,40.4339722222222,-3.669675
IMG_8758.heic,40.4342027777778,-3.66960555555556
IMG_8759.heic,40.4345694444444,-3.66884722222222
IMG_8760.heic,40.4351305555556,-3.66770277777778
IMG_8761.heic,40.4351111111111,-3.66764722222222
IMG_8762.heic,40.4351472222222,-3.66753611111111
IMG_8763.heic,40.4353416666667,-3.66721111111111
IMG_8764.heic,40.4354833333333,-3.66724166666667
IMG_8765.heic,40.4354055555556,-3.66705833333333
IMG_8766.heic,40.4351722222222,-3.66571944444444
IMG_8767.heic,40.4351305555556,-3.66555833333333
IMG_8768.heic,40.4350611111111,-3.66553333333333
IMG_8769.heic,40.4352611111111,-3.66552777777778
IMG_8770.heic,40.4352611111111,-3.66516111111111
IMG_8771.heic,40.4353472222222,-3.66485555555556
IMG_8772.heic,40.4353972222222,-3.66480833333333
IMG_8773.heic,40.4353111111111,-3.66433333333333
IMG_8774.heic,40.4351222222222,-3.66399166666667
IMG_8775.heic,40.4352277777778,-3.66406388888889
IMG_8776.heic,40.4352138888889,-3.66405555555556
IMG_8777.heic,40.4352583333333,-3.66255
IMG_8778.heic,40.4352333333333,-3.66170277777778
IMG_8779.heic,40.4351972222222,-3.6612
IMG_8780.heic,40.4351416666667,-3.66115555555556
IMG_8781.heic,40.435,-3.66103888888889
IMG_8782.heic,40.4350888888889,-3.66075277777778
IMG_8783.heic,40.4351055555556,-3.66069722222222
IMG_8784.heic,40.4353333333333,-3.66064444444444
IMG_8785.heic,40.4352861111111,-3.66044166666667
IMG_8787.heic,40.4357333333333,-3.66109444444444
IMG_8788.heic,40.4364472222222,-3.661025
IMG_8789.heic,40.4364444444444,-3.66101666666667
IMG_8791.heic,40.4365611111111,-3.661075
IMG_8792.heic,40.4366277777778,-3.66113055555556
IMG_8803.heic,40.4390194444444,-3.66305555555556
IMG_8804.heic,40.4386972222222,-3.66225
IMG_8805.heic,40.4385694444444,-3.66194722222222
IMG_8806.heic,40.4385138888889,-3.66165555555556
IMG_8807.heic,40.4384388888889,-3.66133888888889
